"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height","Event"
"LowShort",25.4,21,310,,19.4277150406016,0,111.314849954368,,17.2076409790175,,26.5823898572995,,18.6561096261745,
"LowShort",25.4,22,310,,20.0724808882734,0,125.349457030906,,18.7641297131412,,27.7586005996797,,19.2752674793878,
"LowShort",25.4,23,310,,20.6806306414157,0,140.039554721376,,20.3539893027385,,28.9106679620595,,19.8592635098033,
"LowShort",25.4,24,310,,21.2536145159162,0,155.265577848044,,21.9641218916657,,30.032416447571,,20.4094903354681,
"LowShort",25.4,25,310,,21.7929331879172,0,170.969434217392,,23.5910641338619,,31.1248394955863,,20.9273890305677,"M"
"LowShort",25.4,26,310,,22.3001126052297,0,187.095151311917,,25.2316926469039,,32.1889305454774,,21.4162190823788,
"LowShort",25.4,27,309.335035193131,,22.776683808072,0,203.28848713753,,26.8434737503072,,33.236784748582,,21.8759520398787,
"LowShort",25.4,28,308.592768347328,,23.2241668883476,0,219.725417476259,,28.4555131772068,,34.2613554626059,,22.308067432837,
"HighShort",25.4,0,1000,,0.3,0,0,,0,,0,,0.2,
"HighShort",25.4,1,1000,,0.574188728509966,0,0,,0,,0,,0.535103674321029,
"HighShort",25.4,2,1000,,1.23200622673098,0,0,,0,,0,,1.14814350400244,
"HighShort",25.4,3,1000,,2.083773437321,0,0,,0,,0,,1.94193087986344,
"HighShort",25.4,4,1000,,3.06025960378327,0,0.00183162164307237,,0.000456621582133356,,0.0762416732539208,,2.85194758631041,
"HighShort",25.4,5,1000,,4.1159481935147,0,0.118823350347736,,0.0463773017803506,,0.768363879723574,,3.83577540328971,
"HighShort",25.4,6,1000,,5.21842430492807,0,0.509348557796783,,0.207737128965278,,1.62618991871429,,4.86320591311417,
"HighShort",25.4,7,1000,,6.3437670006694,0,1.35986649317298,,0.523026488425932,,2.58033470651815,,5.91194647777864,
"HighShort",25.4,8,1000,,7.47402653652631,0,2.87743049187016,,1.01254410387223,,3.59022094616662,,6.96526919301706,
"HighShort",25.4,9,1000,,8.59565276064296,0,5.25927784297865,,1.68259498732565,,4.62811345892206,,8.01054626645795,
"HighShort",25.4,10,1000,,9.69843346018234,0,8.67136575860321,,2.52867540195886,,5.6736265181043,,9.03826063108013,
"HighShort",25.4,11,1000,,10.7747373112892,0,13.2340993821597,,3.53813619353645,,6.71121998922097,,10.0413004276078,
"HighShort",25.4,12,1000,,11.818953327616,0,19.0150384036826,,4.69251307095283,,7.72888681462146,,11.0144366098024,
"HighShort",25.4,13,1000,,12.8270644692231,0,26.0278739548258,,5.96960969600664,,8.71740393868292,,11.9539255778249,
