"Plot","Index age","Age","Stocking b4 thin","Stocking aft thin","MTH","Crown Lth","Volume b4 thin","Volume aft thin","BA b4 thin","BA aft thin","DBH b4 thin","DBH aft thin","Mean Height"
"A2056",13,13,1654.86244398267,1654.86244398267,19.6384409828625,0,842.534233658496,842.534233658496,124.901705919392,124.901705919392,30.9968410898785,30.9968410898785,18.2665290914409
"A2056",14,14,1638.87792653018,1638.87792653018,21.2021423417177,0,930.666480821089,930.666480821089,128.701544495981,128.701544495981,31.6178822858798,31.6178822858798,19.7211902144836
"A2056",15,15,1622.06523769195,1622.06523769195,22.7209524366839,0,1018.63912767078,1018.63912767078,132.216410761122,132.216410761122,32.2123734176757,32.2123734176757,21.1341504513864
"A2056",16,16,1604.52770042422,1604.52770042422,24.1924391627635,0,1105.66013689304,1105.66013689304,135.433727108463,135.433727108463,32.7796270009775,32.7796270009775,22.5031532672246
"A2056",17,17,1586.37777882826,1586.37777882826,25.6149548708991,0,1191.06469758431,1191.06469758431,138.351918214187,138.351918214187,33.3198843500784,33.3198843500784,23.8266717279491
"A2056",18,18,1567.73140024597,1567.73140024597,26.987493679705,0,1274.31990743801,1274.31990743801,140.978370305405,140.978370305405,33.8340990423056,33.8340990423056,25.1037757225972
"A2056",19,19,1548.70301495549,1548.70301495549,28.3095747679182,0,1355.01731545926,1355.01731545926,143.326900842084,143.326900842084,34.3236911152973,34.3236911152973,26.3340233604257
"A2056",20,20,1529.40177545848,1529.40177545848,29.5811462402344,0,1432.85964546861,1432.85964546861,145.415471731936,145.415471731936,34.7903433655522,34.7903433655522,27.5173715114938
"A2056",21,21,1509.92887290064,1509.92887290064,30.8025054914179,0,1508.12298733743,1508.12298733743,147.311014235041,147.311014235041,35.2414335852587,35.2414335852587,28.6541016993215
"A2056",22,22,1490.36261395845,1490.36261395845,31.9742329427721,0,1582.09719910692,1582.09719910692,149.162939177649,149.162939177649,35.6942855935014,35.6942855935014,29.7447589001937
"A2056",23,23,1470.73587161651,1470.73587161651,33.0971367159702,0,1654.37578484013,1654.37578484013,150.943714391842,150.943714391842,36.1455115664469,36.1455115664469,30.7901011823341
"A2056",24,24,1451.08814715223,1451.08814715223,34.1722063218151,0,1724.89058902402,1724.89058902402,152.657644643183,152.657644643183,36.5954071333271,36.5954071333271,31.7910551866175
"A2056",25,25,1431.45607076623,1431.45607076623,35.2005738282401,0,1793.59784212581,1793.59784212581,154.30922659203,154.30922659203,37.0442781728182,37.0442781728182,32.7486802433658
"A2056",26,26,1411.8733022259,1411.8733022259,36.1834812681053,0,1860.47602473124,1860.47602473124,155.903134705796,155.903134705796,37.4924449591245,37.4924449591245,33.6641380353331
"A2056",27,27,1392.3704825832,1392.3704825832,37.1222532773701,0,1925.52387278326,1925.52387278326,157.444208253703,157.444208253703,37.9402460032779,37.9402460032779,34.5386671262751
"A2056",28,28,1372.97523115893,1372.97523115893,38.0182741350007,0,1988.75851689103,1988.75851689103,158.937439416217,158.937439416217,38.3880415815261,38.3880415815261,35.3735615851758
"A2064",1,1,2315,2315,1.01797502692534,0,0,0,0,0,0,0,0.9467271170678
"A2064",2,2,2315,2315,2.30762769914679,0,6.66561186478318,6.66561186478318,2.00840971573954,2.00840971573954,3.32326413749903,3.32326413749903,2.14611720434599
"A2064",3,3,2313.93741044223,2313.93741044223,3.855231143344,0,55.0391381968917,55.0391381968917,22.5289828612294,22.5289828612294,11.1329226166369,11.1329226166369,3.58540429659928
"A2064",4,4,2312.81227758317,2312.81227758317,5.559685449129,0,162.698038202842,162.698038202842,61.0034040089847,61.0034040089847,18.3240321249345,18.3240321249345,5.1705644460226
"A2064",5,5,2310.35742555081,2310.35742555081,7.36115703072413,0,284.960341209771,284.960341209771,92.0369337215574,92.0369337215574,22.5193414546758,22.5193414546758,6.84595222181555
"A2064",6,6,2304.96200314893,2304.96200314893,9.21945501972785,0,377.28375655069,377.28375655069,104.683942054852,104.683942054852,24.0448654256998,24.0448654256998,8.57419066012583
"A2064",7,7,2297.84205636833,2297.84205636833,11.1058553247404,0,459.342861780932,459.342861780932,110.702773823884,110.702773823884,24.7647168245132,24.7647168245132,10.3285662757973
"A2064",8,8,2289.81531409987,2289.81531409987,12.9991069558647,0,542.962127788093,542.962127788093,115.21414667233,115.21414667233,25.3085275032837,25.3085275032837,12.0893154925286
