"Age","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","SPHA","BA","HT","GCL","Vol","dens","CTREES","CSHRUB","CSTAND","CFAS","CSTEM","C_branch_live","C_branch_dead","CROOTL","CROOTD","C_needle_litter","C_branch_litter","C_stem_litter","Plot"
11,4.51285667648208,2.07361078796781,0.446881598597599,17.1862918126636,1.33424523853331,40.3595993425539,11.7791972892362,8.01217421555071,0,0,0,4.8414077102881,9.79725276313648,4.14527059901295,1840.91615346103,36.0049683257312,9.30424886252476,8.73786470351482,130.627718891368,0.392096585660212,52.2443940170114,1.3651,53.6094940170114,3.51667453152374,22.2524349707834,8.59314590633181,0.667122619266655,8.31030249976216,4.89862638156824,4.00608710777535,0,0,"A1808"
12,4.6878210091994,2.25642833824104,0.518402696991952,19.1352364180758,5.22948143156389,55.9349510299556,16.0843451158609,10.5155127956713,0,0,0,5.25382717711216,11.9647928917377,5.70378019368622,1832.71860534704,43.5366833958475,10.3765431441894,9.18480843619589,171.364888582043,0.396612254443093,68.642289549048,1.5276,70.169889549048,3.7313260222162,30.8193656118209,9.56761820903792,2.61474071578195,10.6690861464865,5.98239644586883,5.25775639783564,0,0,"A1808"
13,4.72437120002271,2.3439105045997,0.56410708456026,19.1352364180758,11.0157789211875,73.1393943749351,20.7657471965021,12.7665762795209,0,0,0,5.56935509348086,13.6238413537023,7.43278419633871,1819.03204929132,50.5580491170933,11.432977800716,9.60667725919083,214.657115413714,0.400986683566156,85.540551311463,1.6965,87.237051311463,3.81619439459134,40.2860892856369,9.56761820903792,5.50788946059374,13.1675511449915,6.81192067685116,6.38328813976046,0,0,"A1808"
14,4.68305983571322,2.36218560001136,0.585977626149925,19.1352364180758,16.4390055926228,91.5103320849999,25.6999524725076,14.6541037553064,0,0,0,5.73840224382367,14.8934764899984,9.29005495459268,1798.6215010606,56.9688272133936,12.4679999651862,10.0075054884762,259.404353890191,0.405222239670334,102.495893536901,1.8718,104.367693536901,3.81561153093725,50.4001935197963,9.56761820903792,8.2195027963114,15.7191773581656,7.4467382449992,7.32705187765318,0,0,"A1808"
15,4.60936887119797,2.34152991785661,0.590546400002839,19.1352364180758,21.4392416404142,110.712916068985,30.8022272376005,16.1430629717253,0,0,0,5.85502360179109,15.7564720809347,11.2438220050252,1770.81307824729,62.7804392828515,13.4772540819046,10.3908346154365,304.89872919083,0.409318664367508,119.314723606804,2.0535,121.368223606804,3.77072259452871,60.9783690370049,9.56761820903792,10.7196208202071,18.3286254196958,7.87823604046737,8.07153148586265,0,0,"A1808"
16,4.52638927162362,2.30468443559899,0.585382479464152,19.2206309034057,25.9172384240724,130.510499445599,36.0157372277117,17.2580762605688,0,0,0,5.9183049644109,16.3456420015353,13.2706037906388,1735.47854025941,68.052818247306,14.4573922841948,10.7596753999892,350.696223024125,0.413273220844477,135.936594602315,2.2416,138.178194602315,3.70822809334338,71.8905516181187,9.61031545170283,12.9586192120362,20.9670210960613,8.17282100076766,8.62903813028442,0,0,"A1808"
17,4.43962104414132,2.26319463581181,0.576171108899747,19.3439521827416,29.9315265607659,150.71258593955,41.2962816670108,18.0545423745691,0,0,0,5.94747186978317,16.7233656073533,15.3505988254751,1692.94528888224,72.8510182270174,15.4059133551387,11.1165360602857,396.467940379527,0.417080840466936,152.319655908051,2.4361,154.755755908051,3.63949339442644,83.0315923825123,9.67197609137082,14.9657632803829,23.621876768397,8.36168280367665,9.02727118728453,0,0,"A1808"
18,4.3450833137795,2.21981052207066,0.565798658952952,19.4903541907797,33.5051374474837,171.135059702289,46.6012921599819,18.5928185503977,0,0,0,5.93318187098939,16.9484232962043,17.4640442357294,1643.90369472416,77.225440407397,16.3210256885611,11.4634544542051,441.9009497467,0.420734269383447,168.400501974329,2.637,171.037501974329,3.56534624740156,94.2995519690093,9.74517709538984,16.7525687237418,26.2672370154856,8.47421164810217,9.29640927519887,0,0,"A1808"
19,4.23580536852454,2.17254165688975,0.554952630517665,19.663345434754,36.6364011458664,191.581661699051,51.8848689836506,18.9229983589895,0,0,0,5.87254573177125,17.0350159886622,19.5895495618243,1589.32809641955,81.2079809455582,17.2015305271592,11.8020135101438,486.656716093411,0.42422421512942,184.07484328025,2.8443,186.91914328025,3.48164982796598,105.585605630437,9.831672717377,18.3182005729332,28.8787073577109,8.51750799433108,9.46149917949475,0,0,"A1808"
20,4.10576470624394,2.11790268426227,0.543135414222438,19.8604750215043,39.3249533620427,211.843125744446,57.0975536481368,19.0799109868065,0,0,0,5.75956456602988,16.9856262722147,21.7041475433457,1530.4012469348,84.8159805289111,18.0467224121094,12.1333474884009,530.371090396344,0.427539493231083,199.211079974628,3.058,202.269079974628,3.38340140236433,116.773636643896,9.93023751075216,19.6624766810213,31.4285591070833,8.49281313610736,9.53995549340325,0,0,"A1808"
21,3.96600573878117,2.05288235312197,0.529475671065568,20.0805451877926,41.5866482024021,231.775816350828,62.2065023095469,19.0846329197247,0,0,0,5.62374747312075,16.7924474597079,23.7916175502044,1468.43117952896,88.0811343648572,18.8563042934613,12.4581557393001,572.82324162623,0.43066717380946,213.745160608148,3.2781,217.023260608148,3.27418188148436,127.783716950516,10.0402725938963,20.793324101201,33.9151248913338,8.39622372985394,9.54231645986236,0,0,"A1808"
22,3.88582003510513,1.98300286939059,0.513220588280493,20.3252564228105,43.5300557096892,251.592167274102,67.2694602095546,18.956015971583,0,0,0,5.59978811439979,16.4959959903409,25.8731472044347,1404.71972251679,91.1367163657827,19.630315161872,12.7767953541854,614.540281513523,0.433592728184344,228.011965194845,3.5046,231.516565194845,3.1910217463881,138.732657239268,10.1626282114053,21.7650278548446,36.4346241619772,8.24799799517045,9.47800798579148,0,0,"A1808"
23,3.74987062049264,1.94291001755256,0.495750717347647,20.5857389460521,45.1141368718907,270.97124498132,72.2071917140721,18.7468168274199,0,0,0,5.39161498614951,16.3177602469633,27.9140808716396,1340.30394263088,93.9311962274437,20.3690683957473,13.0896242836007,654.913777021916,0.436300175478273,241.71855840045,3.7375,245.45605840045,3.09426567769643,149.44266292648,10.2928694730261,22.5570684359454,38.7994033501108,8.15888012348166,9.37340841370993,0,0,"A1808"
24,3.5938966072003,1.87493531024632,0.485727504388141,20.8614150810242,46.3361465496726,289.749527456247,76.9806073421537,18.4679314809117,0,0,0,5.21355625922449,15.9199473977667,29.896263186767,1276.24066094147,96.4631320977225,21.0730992917225,13.3965949136458,693.672350723238,0.438758252696388,254.689977087801,3.9768,258.666777087801,2.97727971091738,159.822895321507,10.4307075405121,23.1680732748363,41.0970818006891,7.95997369888333,9.23396574045583,0,0,"A1808"
