,,,Stocking,,MTH,,Volume,,BA,,DBH,,Mean,,,,,,,,,
Plot,Index age,Age,b4 thin,aft thin,,Crown Lth,b4 thin,aft thin,b4 thin,aft thin,b4 thin,aft thin,Height,,,,,,,,,
,,yrs,sph,sph,m,m,m3/ha,m3/ha,m2/ha,m2/ha,cm,,m,,,,,,,,,
,,25,239.1,,30.1,,371.4,,36.7,,44.2,,29.2,,,,,,,,,
,,26,238.5,,31.0,,400.8,,38.6,,45.4,,30.0,,,,,,,,,
,,27,237.9,,31.8,,430.5,,40.5,,46.5,,30.8,,,,,,,,,
,,28,237.1,,32.5,,460.2,,42.3,,47.6,,31.6,,,,,,,,,
A1863,24.51780822,0,1543.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1484.7,,0.6,,0.0,,0.0,,0.0,,0.5,,,,,,,,,
,,2,1428.6,,1.3,,0.2,,0.0,,0.0,,1.2,,,,,,,,,
,,3,1374.6,,2.2,,0.7,,0.0,,0.7,,2.0,,,,,,,,,
,,4,1322.6,,3.3,,1.4,,0.6,,2.3,,3.1,,,,,,,,,
,,5,1272.7,,4.5,,4.6,,1.8,,4.2,,4.2,,,,,,,,,
,,6,1224.6,,5.8,,10.8,,3.9,,6.3,,5.4,,,,,,,,,
,,7,1178.3,,7.1,,20.9,,6.7,,8.5,,6.6,,,,,,,,,
,,8,1133.7,,8.5,,35.4,,10.1,,10.6,,7.9,,,,,,,,,
,,9,1090.9,,9.9,,54.2,,13.8,,12.7,,9.2,,,,,,,,,
,,10,1049.7,,11.3,,76.9,,17.8,,14.7,,10.5,,,,,,,,,
,,11,1010.0,,12.7,,102.8,,21.7,,16.5,,11.8,,,,,,,,,
,,12,971.8,,14.0,,131.0,,25.5,,18.3,,13.1,,,,,,,,,
,,13,935.1,,15.3,,160.7,,29.0,,19.9,,14.3,,,,,,,,,
,,14,899.8,,16.6,,191.2,,32.2,,21.3,,15.5,,,,,,,,,
,,15,865.8,,17.9,,222.0,,35.1,,22.7,,16.7,,,,,,,,,
,,16,833.0,,19.1,,252.7,,37.7,,24.0,,17.9,,,,,,,,,
,,17,801.6,,20.3,,283.0,,40.0,,25.2,,19.0,,,,,,,,,
,,18,771.3,,21.5,,312.8,,42.1,,26.4,,20.1,,,,,,,,,
,,19,742.1,,22.6,,342.1,,44.0,,27.5,,21.1,,,,,,,,,
,,20,714.1,,23.6,,370.3,,45.7,,28.5,,22.1,,,,,,,,,
,,21,687.1,,24.7,,398.3,,47.3,,29.6,,23.1,,,,,,,,,
,,22,661.1,,25.6,,426.1,,48.9,,30.7,,24.0,,,,,,,,,
,,23,636.1,,26.6,,453.5,,50.3,,31.7,,24.9,,,,,,,,,
,,24,612.1,,27.5,,480.3,,51.7,,32.8,,25.8,,,,,,,,,
,,25,595.8,,28.3,,509.8,,53.4,,33.8,,26.6,,,,,,,,,
,,26,587.8,,29.1,,542.8,,55.3,,34.6,,27.4,,,,,,,,,
,,27,579.4,,29.9,,575.3,,57.2,,35.5,,28.1,,,,,,,,,
,,28,570.5,,30.6,,607.2,,59.1,,36.3,,28.8,,,,,,,,,
A1864,24.51780822,0,1543.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1432.6,,0.5,,0.0,,0.0,,0.0,,0.5,,,,,,,,,
,,2,1330.1,,1.1,,0.2,,0.0,,0.0,,1.0,,,,,,,,,
,,3,1235.0,,1.9,,0.5,,0.0,,0.4,,1.7,,,,,,,,,
,,4,1146.6,,2.8,,1.0,,0.4,,2.0,,2.6,,,,,,,,,
,,5,1064.6,,3.9,,3.4,,1.4,,4.0,,3.6,,,,,,,,,
,,6,988.4,,5.0,,8.1,,3.1,,6.3,,4.7,,,,,,,,,
,,7,917.7,,6.3,,15.6,,5.3,,8.6,,5.8,,,,,,,,,
,,8,852.0,,7.5,,26.1,,8.0,,11.0,,7.0,,,,,,,,,
,,9,791.1,,8.8,,39.4,,11.0,,13.3,,8.2,,,,,,,,,
,,10,734.5,,10.0,,55.0,,13.9,,15.5,,9.4,,,,,,,,,
,,11,681.9,,11.3,,72.4,,16.8,,17.7,,10.6,,,,,,,,,
,,12,633.1,,12.5,,90.9,,19.4,,19.7,,11.8,,,,,,,,,
,,13,587.8,,13.8,,109.8,,21.7,,21.7,,12.9,,,,,,,,,
,,14,545.8,,15.0,,128.7,,23.7,,23.5,,14.1,,,,,,,,,
,,15,506.7,,16.1,,147.1,,25.5,,25.3,,15.2,,,,,,,,,
,,16,470.5,,17.2,,165.0,,26.9,,27.0,,16.3,,,,,,,,,
,,17,436.8,,18.3,,182.0,,28.2,,28.7,,17.4,,,,,,,,,
,,18,405.6,,19.4,,198.3,,29.2,,30.3,,18.4,,,,,,,,,
,,19,376.6,,20.4,,213.6,,30.1,,31.9,,19.5,,,,,,,,,
,,20,349.6,,21.4,,227.9,,30.8,,33.5,,20.4,,,,,,,,,
,,21,324.6,,22.3,,241.6,,31.4,,35.1,,21.4,,,,,,,,,
,,22,301.4,,23.2,,254.7,,32.0,,36.7,,22.3,,,,,,,,,
,,23,279.8,,24.1,,267.3,,32.5,,38.4,,23.2,,,,,,,,,
,,24,259.8,,24.9,,279.4,,32.9,,40.2,,24.1,,,,,,,,,
,,25,249.2,,25.7,,296.9,,34.0,,41.7,,24.9,,,,,,,,,
,,26,248.6,,26.4,,321.6,,35.9,,42.9,,25.6,,,,,,,,,
,,27,248.0,,27.1,,346.6,,37.7,,44.0,,26.3,,,,,,,,,
,,28,247.3,,27.8,,371.7,,39.6,,45.1,,26.9,,,,,,,,,
A1868,24.51780822,0,1543.0,,0.3,,0.0,,0.0,,0.0,,0.2,,,,,,,,,
,,1,1434.9,,0.6,,0.1,,0.0,,0.0,,0.5,,,,,,,,,
,,2,1334.4,,1.3,,0.3,,0.0,,0.0,,1.2,,,,,,,,,
,,3,1240.9,,2.2,,0.7,,0.1,,0.7,,2.0,,,,,,,,,
,,4,1154.0,,3.3,,1.4,,0.6,,2.5,,3.0,,,,,,,,,
,,5,1073.1,,4.4,,4.6,,1.8,,4.6,,4.1,,,,,,,,,
,,6,997.9,,5.7,,10.4,,3.7,,6.9,,5.3,,,,,,,,,
,,7,928.0,,7.1,,19.5,,6.2,,9.2,,6.6,,,,,,,,,
,,8,863.0,,8.4,,31.8,,9.1,,11.6,,7.9,,,,,,,,,
,,9,802.5,,9.8,,47.3,,12.2,,13.9,,9.2,,,,,,,,,
,,10,746.3,,11.2,,65.2,,15.2,,16.1,,10.5,,,,,,,,,
,,11,694.0,,12.6,,84.9,,18.1,,18.2,,11.8,,,,,,,,,
,,12,645.4,,13.9,,105.6,,20.7,,20.2,,13.0,,,,,,,,,
,,13,600.2,,15.2,,126.6,,23.0,,22.1,,14.3,,,,,,,,,
,,14,558.1,,16.5,,147.5,,25.0,,23.9,,15.5,,,,,,,,,
,,15,519.0,,17.8,,167.9,,26.7,,25.6,,16.8,,,,,,,,,
,,16,482.7,,19.0,,187.7,,28.2,,27.3,,18.0,,,,,,,,,
,,17,448.9,,20.2,,206.6,,29.4,,28.9,,19.1,,,,,,,,,
